gid,경도,위도
다바560511,127.0082470503,36.6572618844
다바560512,127.0082413169,36.6581633461
다바561509,127.0093773449,36.6554635743
다바561510,127.0093716250,36.6563650364
다바561511,127.0093659049,36.6572664984
다바561512,127.0093601846,36.6581679603
다바561513,127.0093544639,36.6590694220
다바562508,127.0105018802,36.6545667152
다바562509,127.0104961736,36.6554681776
다바562510,127.0104904668,36.6563696398
다바562511,127.0104847598,36.6572711020
다바562512,127.0104790524,36.6581725640
다바562513,127.0104733449,36.6590740258
다바562514,127.0104676371,36.6599754876
다바562515,127.0104619290,36.6608769491
다바563507,127.0116263894,36.6536698450
다바563508,127.0116206961,36.6545713077
다바563509,127.0116150026,36.6554727703
다바563510,127.0116093089,36.6563742327
다바563511,127.0116036149,36.6572756950
다바563512,127.0115979206,36.6581771571
다바563513,127.0115922261,36.6590786192
다바563514,127.0115865313,36.6599800810
다바563515,127.0115808363,36.6608815428
다바563516,127.0115751410,36.6617830044
다바563517,127.0115694454,36.6626844658
다바563518,127.0115637497,36.6635859271
다바564507,127.0127451926,36.6536744270
다바564508,127.0127395124,36.6545758898
다바564509,127.0127338319,36.6554773525
다바564510,127.0127281512,36.6563788151
다바564511,127.0127224702,36.6572802775
다바564512,127.0127167890,36.6581817398
다바564513,127.0127111075,36.6590832020
다바564514,127.0127054258,36.6599846640
다바564515,127.0126997438,36.6608861259
다바564516,127.0126940616,36.6617875876
다바564517,127.0126883791,36.6626890492
다바564518,127.0126826963,36.6635905107
다바564519,127.0126770133,36.6644919720
다바565507,127.0138639960,36.6536789984
다바565508,127.0138583289,36.6545804614
다바565509,127.0138526614,36.6554819242
다바565510,127.0138469937,36.6563833869
다바565511,127.0138413258,36.6572848495
다바565512,127.0138356576,36.6581863120
다바565513,127.0138299892,36.6590877743
다바565514,127.0138243205,36.6599892365
다바565515,127.0138186516,36.6608906985
다바565516,127.0138129824,36.6617921604
다바565517,127.0138073129,36.6626936221
다바565518,127.0138016433,36.6635950838
다바565519,127.0137959733,36.6644965453
다바565520,127.0137903031,36.6653980066
다바566506,127.0149884536,36.6527820960
다바566507,127.0149827997,36.6536835593
다바566508,127.0149771456,36.6545850224
다바566509,127.0149714912,36.6554864854
다바566510,127.0149658366,36.6563879483
다바566511,127.0149601817,36.6572894110
다바566512,127.0149545265,36.6581908736
다바566513,127.0149488711,36.6590923361
다바566514,127.0149432155,36.6599937984
다바566515,127.0149375596,36.6608952606
다바566516,127.0149319035,36.6617967226
다바566517,127.0149262471,36.6626981845
다바566518,127.0149205904,36.6635996463
다바566519,127.0149149335,36.6645011079
다바566520,127.0149092764,36.6654025694
다바566521,127.0149036190,36.6663040308
다바566522,127.0148979613,36.6672054920
다바566523,127.0148923034,36.6681069531
다바566525,127.0148809869,36.6699098749
다바566526,127.0148753282,36.6708113355
다바566527,127.0148696693,36.6717127961
다바567504,127.0161185254,36.6509837190
다바567505,127.0161128851,36.6518851827
다바567506,127.0161072445,36.6527866462
다바567507,127.0161016037,36.6536881097
다바567508,127.0160959626,36.6545895730
다바567509,127.0160903212,36.6554910361
다바567510,127.0160846796,36.6563924991
다바567511,127.0160790378,36.6572939620
다바567512,127.0160733957,36.6581954248
다바567513,127.0160677533,36.6590968874
다바567514,127.0160621107,36.6599983498
다바567515,127.0160564679,36.6608998122
다바567516,127.0160508248,36.6618012744
다바567517,127.0160451815,36.6627027364
다바567518,127.0160395379,36.6636041983
다바567519,127.0160338940,36.6645056601
다바567520,127.0160282499,36.6654071218
다바567521,127.0160226055,36.6663085833
다바567522,127.0160169609,36.6672100446
다바567523,127.0160113161,36.6681115059
다바567524,127.0160056710,36.6690129670
다바567525,127.0160000256,36.6699144279
다바567526,127.0159943800,36.6708158887
다바567527,127.0159887342,36.6717173494
다바567528,127.0159830880,36.6726188100
다바567529,127.0159774417,36.6735202704
다바568504,127.0172372905,36.6509882584
다바568505,127.0172316632,36.6518897223
다바568506,127.0172260357,36.6527911860
다바568507,127.0172204079,36.6536926496
다바568508,127.0172147798,36.6545941130
다바568509,127.0172091515,36.6554955763
다바568510,127.0172035229,36.6563970395
다바568511,127.0171978941,36.6572985025
다바568512,127.0171922651,36.6581999654
다바568513,127.0171866358,36.6591014281
다바568514,127.0171810062,36.6600028908
다바568515,127.0171753764,36.6609043532
다바568516,127.0171697464,36.6618058156
다바568517,127.0171641161,36.6627072778
다바568518,127.0171584855,36.6636087399
다바568519,127.0171528547,36.6645102018
다바568520,127.0171472237,36.6654116636
다바568521,127.0171415924,36.6663131252
다바568522,127.0171359608,36.6672145868
다바568523,127.0171303290,36.6681160481
다바568524,127.0171246970,36.6690175094
다바568525,127.0171190647,36.6699189705
다바568526,127.0171134321,36.6708204315
다바568527,127.0171077993,36.6717218923
다바568528,127.0171021662,36.6726233530
다바568529,127.0170965329,36.6735248135
다바568530,127.0170908994,36.6744262739
다바569504,127.0183560558,36.6509927873
다바569505,127.0183504416,36.6518942513
다바569506,127.0183448271,36.6527957152
다바569507,127.0183392123,36.6536971789
다바569508,127.0183335973,36.6545986425
다바569509,127.0183279820,36.6555001060
다바569510,127.0183223665,36.6564015693
다바569511,127.0183167508,36.6573030325
다바569512,127.0183111348,36.6582044955
다바569513,127.0183055185,36.6591059584
다바569514,127.0182999020,36.6600074212
다바569515,127.0182942852,36.6609088838
다바569516,127.0182886682,36.6618103463
다바569517,127.0182830510,36.6627118087
다바569518,127.0182774335,36.6636132709
다바569519,127.0182718157,36.6645147329
다바569520,127.0182661977,36.6654161949
다바569521,127.0182605794,36.6663176567
다바569522,127.0182549609,36.6672191184
다바569523,127.0182493422,36.6681205799
다바569524,127.0182437232,36.6690220413
다바569525,127.0182381039,36.6699235025
다바569526,127.0182324844,36.6708249636
다바569527,127.0182268647,36.6717264246
다바569528,127.0182212447,36.6726278855
다바569529,127.0182156244,36.6735293462
다바569530,127.0182100039,36.6744308067
다바569531,127.0182043832,36.6753322672
다바570503,127.0194804224,36.6500958415
다바570504,127.0194748214,36.6509973058
다바570505,127.0194692202,36.6518987699
다바570506,127.0194636187,36.6528002339
다바570507,127.0194580170,36.6537016978
다바570508,127.0194524150,36.6546031615
다바570509,127.0194468128,36.6555046251
다바570510,127.0194412103,36.6564060886
다바570511,127.0194356076,36.6573075519
다바570512,127.0194300047,36.6582090151
다바570513,127.0194244014,36.6591104782
다바570514,127.0194187980,36.6600119411
다바570515,127.0194131943,36.6609134039
다바570516,127.0194075903,36.6618148665
다바570517,127.0194019861,36.6627163290
다바570518,127.0193963816,36.6636177914
다바570519,127.0193907769,36.6645192536
다바570520,127.0193851720,36.6654207157
다바570521,127.0193795668,36.6663221776
다바570522,127.0193739613,36.6672236394
다바570523,127.0193683556,36.6681251011
다바570524,127.0193627497,36.6690265627
다바570525,127.0193571434,36.6699280241
다바570526,127.0193515370,36.6708294853
다바570527,127.0193459303,36.6717309464
다바570528,127.0193403233,36.6726324074
다바570529,127.0193347161,36.6735338683
다바570530,127.0193291087,36.6744353290
다바570531,127.0193235010,36.6753367896
다바570532,127.0193178930,36.6762382500
다바570533,127.0193122848,36.6771397103
다바571503,127.0205991751,36.6501003493
다바571504,127.0205935872,36.6510018137
다바571505,127.0205879990,36.6519032780
다바571506,127.0205824106,36.6528047422
다바571507,127.0205768219,36.6537062062
다바571508,127.0205712330,36.6546076701
다바571509,127.0205656438,36.6555091338
다바571510,127.0205600544,36.6564105974
다바571511,127.0205544647,36.6573120609
다바571512,127.0205488748,36.6582135242
다바571513,127.0205432846,36.6591149874
다바571514,127.0205376942,36.6600164505
다바571515,127.0205321036,36.6609179134
다바571516,127.0205265126,36.6618193762
다바571517,127.0205209215,36.6627208388
다바571518,127.0205153301,36.6636223013
다바571519,127.0205097384,36.6645237637
다바571520,127.0205041465,36.6654252260
다바571521,127.0204985543,36.6663266881
다바571522,127.0204929619,36.6672281500
다바571523,127.0204873693,36.6681296118
다바571524,127.0204817764,36.6690310735
다바571525,127.0204761832,36.6699325351
다바571526,127.0204705898,36.6708339965
다바571527,127.0204649962,36.6717354578
다바571528,127.0204594023,36.6726369189
다바571529,127.0204538081,36.6735383799
다바571530,127.0204482137,36.6744398407
다바571531,127.0204426191,36.6753413015
다바571532,127.0204370242,36.6762427621
다바571533,127.0204314291,36.6771442225
다바571534,127.0204258337,36.6780456828
다바572504,127.0217123533,36.6510063111
다바572505,127.0217067781,36.6519077756
다바572506,127.0217012028,36.6528092399
다바572507,127.0216956271,36.6537107040
다바572508,127.0216900512,36.6546121681
다바572509,127.0216844751,36.6555136320
다바572510,127.0216788987,36.6564150957
다바572511,127.0216733221,36.6573165593
다바572512,127.0216677452,36.6582180228
다바572513,127.0216621681,36.6591194862
다바572514,127.0216565907,36.6600209494
다바572515,127.0216510131,36.6609224124
다바572516,127.0216454352,36.6618238754
다바572517,127.0216398571,36.6627253382
다바572518,127.0216342787,36.6636268008
다바572519,127.0216287001,36.6645282633
다바572520,127.0216231213,36.6654297257
다바572521,127.0216175422,36.6663311880
다바572522,127.0216119628,36.6672326501
다바572523,127.0216063832,36.6681341120
다바572524,127.0216008033,36.6690355739
다바572525,127.0215952232,36.6699370356
다바572526,127.0215896429,36.6708384971
다바572527,127.0215840623,36.6717399586
다바572528,127.0215784815,36.6726414198
다바572529,127.0215729004,36.6735428810
다바572530,127.0215673190,36.6744443420
다바572531,127.0215617374,36.6753458029
다바572532,127.0215561556,36.6762472636
다바572533,127.0215505735,36.6771487242
다바572534,127.0215449912,36.6780501846
다바572535,127.0215394086,36.6789516450
다바572536,127.0215338258,36.6798531051
다바572537,127.0215282427,36.6807545652
다바573505,127.0228255575,36.6519122626
다바573506,127.0228199951,36.6528137271
다바573507,127.0228144326,36.6537151914
다바573508,127.0228088697,36.6546166556
다바573509,127.0228033066,36.6555181196
다바573510,127.0227977433,36.6564195835
다바573511,127.0227921797,36.6573210473
다바573512,127.0227866159,36.6582225109
다바573513,127.0227810518,36.6591239744
다바573514,127.0227754875,36.6600254377
다바573515,127.0227699229,36.6609269010
다바573516,127.0227643581,36.6618283640
다바573517,127.0227587930,36.6627298270
다바573518,127.0227532277,36.6636312898
다바573519,127.0227476621,36.6645327525
다바573520,127.0227420963,36.6654342150
다바573521,127.0227365302,36.6663356774
다바573522,127.0227309639,36.6672371396
다바573523,127.0227253974,36.6681386017
다바573524,127.0227198306,36.6690400637
다바573525,127.0227142635,36.6699415256
다바573526,127.0227086962,36.6708429873
다바573527,127.0227031287,36.6717444488
다바573528,127.0226975609,36.6726459103
다바573529,127.0226919928,36.6735473716
다바573530,127.0226864246,36.6744488327
다바573531,127.0226808560,36.6753502937
다바573532,127.0226752872,36.6762517546
다바573533,127.0226697182,36.6771532153
다바573534,127.0226641489,36.6780546759
다바573535,127.0226585794,36.6789561364
다바573536,127.0226530096,36.6798575967
다바573537,127.0226474396,36.6807590569
다바573538,127.0226418693,36.6816605170
다바574507,127.0239332382,36.6537196682
다바574508,127.0239276884,36.6546211325
다바574509,127.0239221384,36.6555225967
다바574510,127.0239165881,36.6564240608
다바574511,127.0239110375,36.6573255247
다바574512,127.0239054868,36.6582269885
다바574513,127.0238999357,36.6591284521
다바574514,127.0238943844,36.6600299156
다바574515,127.0238888329,36.6609313790
다바574516,127.0238832811,36.6618328422
다바574517,127.0238777291,36.6627343053
다바574518,127.0238721768,36.6636357682
다바574519,127.0238666243,36.6645372310
다바574520,127.0238610716,36.6654386937
다바574521,127.0238555185,36.6663401563
다바574522,127.0238499653,36.6672416187
다바574523,127.0238444118,36.6681430809
다바574524,127.0238388580,36.6690445430
다바574525,127.0238333040,36.6699460050
다바574526,127.0238277498,36.6708474669
다바574527,127.0238221953,36.6717489286
다바574528,127.0238166406,36.6726503902
다바574529,127.0238110856,36.6735518516
다바574530,127.0238055303,36.6744533129
다바574531,127.0237999749,36.6753547741
다바574532,127.0237944191,36.6762562351
다바574533,127.0237888632,36.6771576960
다바574534,127.0237833069,36.6780591567
다바574535,127.0237777505,36.6789606173
다바574536,127.0237721938,36.6798620778
다바574537,127.0237666368,36.6807635382
다바574538,127.0237610796,36.6816649984
다바574539,127.0237555221,36.6825664584
다바574540,127.0237499644,36.6834679183
다바575509,127.0250409704,36.6555270634
다바575510,127.0250354331,36.6564285276
다바575511,127.0250298956,36.6573299916
다바575512,127.0250243579,36.6582314555
다바575513,127.0250188199,36.6591329193
다바575514,127.0250132817,36.6600343830
다바575515,127.0250077432,36.6609358465
다바575516,127.0250022045,36.6618373098
다바575517,127.0249966655,36.6627387731
다바575518,127.0249911263,36.6636402362
다바575519,127.0249855868,36.6645416991
다바575520,127.0249800471,36.6654431619
다바575521,127.0249745071,36.6663446246
다바575522,127.0249689669,36.6672460872
다바575523,127.0249634264,36.6681475496
다바575524,127.0249578857,36.6690490119
다바575525,127.0249523448,36.6699504740
다바575526,127.0249468036,36.6708519360
다바575527,127.0249412622,36.6717533978
다바575528,127.0249357205,36.6726548596
다바575529,127.0249301785,36.6735563212
다바575530,127.0249246364,36.6744577826
다바575531,127.0249190939,36.6753592439
다바575532,127.0249135513,36.6762607051
다바575533,127.0249080084,36.6771621661
다바575534,127.0249024652,36.6780636270
다바575535,127.0248969218,36.6789650878
다바575536,127.0248913781,36.6798665484
다바575537,127.0248858342,36.6807680089
다바575538,127.0248802901,36.6816694692
다바575539,127.0248747457,36.6825709294
다바575540,127.0248692010,36.6834723895
다바575541,127.0248636561,36.6843738494
다바576510,127.0261542784,36.6564329838
다바576511,127.0261487540,36.6573344480
다바576512,127.0261432293,36.6582359121
다바576513,127.0261377043,36.6591373760
다바576514,127.0261321791,36.6600388398
다바576515,127.0261266537,36.6609403035
다바576516,127.0261211280,36.6618417670
